2013-1-10,"	32.25"
2013-2-10,"	34.77"
2013-3-10,"	40.91"
2013-4-10,"	49.68"
2013-5-10,"	60.85"
2013-6-10,"	70.39"
2013-7-10,"	74.21"
2013-8-10,"	72.99"
2013-9-10,"	66.96"
2013-10-10,"	53.44"
2013-11-10,"	41.61"
2013-12-10,"	31.06"
2014-1-10,"	30.56"
2014-2-10,"	32.13"
2014-3-10,"	40.51"
2014-4-10,"	51.69"
2014-5-10,"	61.27"
2014-6-10,"	69.58"
2014-7-10,"	73.29"
2014-8-10,"	72.25"
2014-9-10,"	66.2"
2014-10-10,"	56.93"
2014-11-10,"	39.25"
2014-12-10,"	36.81"
2015-1-10,"	33.08"
2015-2-10,"	32.97"
2015-3-10,"	45.41"
2015-4-10,"	53.24"
2015-5-10,"	60.84"
2015-6-10,"	71.35"
2015-7-10,"	73.92"
2015-8-10,"	72.95"
2015-9-10,"	68.54"
2015-10-10,"	57.25"
2015-11-10,"	44.6"
2015-12-10,"	38.66"
2016-1-10,"	32.23"
2016-2-10,"	39.47"
2016-3-10,"	47.5"
2016-4-10,"	53.2"
2016-5-10,"	60.33"
2016-6-10,"     71.76: 
2016-7-10,"	75.25"
2016-8-10,"	-"
2016-9-10,"	-"
2016-10-10,"	-"
2016-11-10,"	-"
2016-12-10,"	-"
